Category,Cochise
Total_doses_administered,168523
Total_people_one_dose,82834
Total_people_complete,67685
total_pouluation,82834
Male-65 years and older,11415
Male-55-64 years,5644
Male-45-54 years,4419
Male-20-44 years,11835
Male-Less than 20 years,5749
Female-65 years and older,13363
Female-55-64 years,6674
Female-45-54 years,4959
Female-20-44 years,12555
Female-Less than 20 years,6119
"American Indian or Alaska Native, non-Hispanic",367
"Asian or Pacific Islander, non-Hispanic",1508
"Black or African American, non-Hispanic",1606
Unknown,9900
Other Race,12048
Hispanic or Latino,23854
"White, non-Hispanic",33551
