Category,Yavapai
Total_doses_administered,252366
Total_people_one_dose,118932
Total_people_complete,99868
total_pouluation,118932
Male-65 years and older,26239
Male-55-64 years,9311
Male-45-54 years,5135
Male-20-44 years,10396
Male-Less than 20 years,3015
Female-65 years and older,31925
Female-55-64 years,11702
Female-45-54 years,6094
Female-20-44 years,10659
Female-Less than 20 years,3309
"Black or African American, non-Hispanic",580
"American Indian or Alaska Native, non-Hispanic",1451
"Asian or Pacific Islander, non-Hispanic",1470
Hispanic or Latino,8327
Other Race,17469
Unknown,18667
"White, non-Hispanic",70968
