Category,Gila
Total_doses_administered,57203
Total_people_one_dose,26424
Total_people_complete,23097
total_pouluation,26424
Male-65 years and older,5881
Male-55-64 years,2238
Male-45-54 years,1270
Male-20-44 years,2447
Male-Less than 20 years,771
Female-65 years and older,6274
Female-55-64 years,2627
Female-45-54 years,1402
Female-20-44 years,2615
Female-Less than 20 years,841
"Black or African American, non-Hispanic",92
"Asian or Pacific Islander, non-Hispanic",209
Hispanic or Latino,1471
"American Indian or Alaska Native, non-Hispanic",2748
Other Race,4203
Unknown,4586
"White, non-Hispanic",13115
