Category,Coconino
Total_doses_administered,209687
Total_people_one_dose,95956
Total_people_complete,82308
total_pouluation,95956
Male-65 years and older,9515
Male-55-64 years,6408
Male-45-54 years,5875
Male-20-44 years,17405
Male-Less than 20 years,6338
Female-65 years and older,10694
Female-55-64 years,7200
Female-45-54 years,5920
Female-20-44 years,19778
Female-Less than 20 years,6552
"Black or African American, non-Hispanic",793
"Asian or Pacific Islander, non-Hispanic",1675
Hispanic or Latino,7343
Other Race,8755
Unknown,12566
"American Indian or Alaska Native, non-Hispanic",22984
"White, non-Hispanic",41840
