Category,Graham
Total_doses_administered,45305
Total_people_one_dose,21474
Total_people_complete,18748
total_pouluation,21474
Male-65 years and older,2421
Male-55-64 years,1594
Male-45-54 years,1456
Male-20-44 years,3618
Male-Less than 20 years,1247
Female-65 years and older,2932
Female-55-64 years,1737
Female-45-54 years,1426
Female-20-44 years,3667
Female-Less than 20 years,1364
"Asian or Pacific Islander, non-Hispanic",86
"Black or African American, non-Hispanic",94
Other Race,1302
Hispanic or Latino,3875
Unknown,4138
"American Indian or Alaska Native, non-Hispanic",5436
"White, non-Hispanic",6543
