Category,Maricopa
Total_doses_administered,5731022
Total_people_one_dose,2684716
Total_people_complete,2320629
total_pouluation,2684716
Male-65 years and older,288670
Male-55-64 years,190690
Male-45-54 years,185067
Male-20-44 years,444295
Male-Less than 20 years,153922
Female-65 years and older,360558
Female-55-64 years,214268
Female-45-54 years,200477
Female-20-44 years,475462
Female-Less than 20 years,156881
"American Indian or Alaska Native, non-Hispanic",52640
"Black or African American, non-Hispanic",104579
"Asian or Pacific Islander, non-Hispanic",136351
Unknown,180896
Other Race,431595
Hispanic or Latino,455207
"White, non-Hispanic",1323448
