Category,Yuma
Total_doses_administered,320817
Total_people_one_dose,160653
Total_people_complete,128149
total_pouluation,160653
Male-65 years and older,17208
Male-55-64 years,10718
Male-45-54 years,9328
Male-20-44 years,28488
Male-Less than 20 years,12742
Female-65 years and older,19767
Female-55-64 years,11450
Female-45-54 years,10259
Female-20-44 years,26846
Female-Less than 20 years,13233
"Black or African American, non-Hispanic",844
"American Indian or Alaska Native, non-Hispanic",1189
"Asian or Pacific Islander, non-Hispanic",1238
Other Race,19417
Unknown,29772
"White, non-Hispanic",35591
Hispanic or Latino,72602
