Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,9882671,62598,209687,168523,45305,9649,57203,18398,5731022,189681,102308,530019,1613584,112417,252366,320817
Total_people_complete,3963543,22913,82308,67685,18748,3826,23097,7566,2320629,77067,40925,221831,632320,44793,99868,128149
total_pouluation,7189020,29935,95956,82834,21474,4428,26424,9087,2684716,91598,49953,256181,742337,57552,118932,160653
Total_people_one_dose,4714710,29935,95956,82834,21474,4428,26424,9087,2684716,91598,49953,256181,742337,57552,118932,160653
Male-65 years and older,573905,2823,9515,11415,2421,516,5881,2460,288670,21276,7427,37548,92925,4798,26239,17208
Male-55-64 years,333629,2063,6408,5644,1594,377,2238,625,190690,8364,3612,18653,48809,3329,9311,10718
Male-45-54 years,301072,1653,5875,4419,1456,330,1270,327,185067,4352,2755,17046,42202,3481,5135,9328
Male-20-44 years,749551,3962,17405,11835,3618,797,2447,689,444295,7677,5925,38892,113335,9216,10396,28488
Male-Less than 20 years,273100,4139,6338,5749,1247,232,771,381,153922,1884,4503,13147,46167,6701,3015,12742
Female-65 years and older,697359,3395,10694,13363,2932,519,6274,2473,360558,23347,8349,43110,119503,5802,31925,19767
Female-55-64 years,379111,2210,7200,6674,1737,318,2627,747,214268,9696,4143,20997,58400,3651,11702,11450
Female-45-54 years,323993,1623,5920,4959,1426,329,1402,380,200477,4895,2753,17327,47744,3784,6094,10259
Female-20-44 years,783373,3857,19778,12555,3667,766,2615,607,475462,7850,5824,35796,124555,9660,10659,26846
Female-Less than 20 years,279696,4201,6552,6119,1364,242,841,379,156881,2077,4625,12921,47229,7044,3309,13233
"Black or African American, non-Hispanic",142940,59,793,1606,94,53,92,41,104579,628,204,9388,16954,61,580,844
"Asian or Pacific Islander, non-Hispanic",180379,136,1675,1508,86,43,209,89,136351,1397,371,5231,22466,187,1470,1238
"American Indian or Alaska Native, non-Hispanic",203352,23163,22984,367,5436,125,2748,544,52640,761,21864,10014,15630,57,1451,1189
Unknown,429242,1162,12566,9900,4138,316,4586,1864,180896,11643,2394,30189,66181,3928,18667,29772
Other Race,673000,1161,8755,12048,1302,92,4203,1193,431595,14542,6366,31474,92364,3563,17469,19417
Hispanic or Latino,882767,580,7343,23854,3875,2000,1471,1356,455207,7389,2547,41597,182465,42063,8327,72602
"White, non-Hispanic",2203030,3674,41840,33551,6543,1799,13115,4000,1323448,55238,16207,128288,346277,7693,70968,35591
