Category,Navajo
Total_doses_administered,102308
Total_people_one_dose,49953
Total_people_complete,40925
total_pouluation,49953
Male-65 years and older,7427
Male-55-64 years,3612
Male-45-54 years,2755
Male-20-44 years,5925
Male-Less than 20 years,4503
Female-65 years and older,8349
Female-55-64 years,4143
Female-45-54 years,2753
Female-20-44 years,5824
Female-Less than 20 years,4625
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",371
Unknown,2394
Hispanic or Latino,2547
Other Race,6366
"White, non-Hispanic",16207
"American Indian or Alaska Native, non-Hispanic",21864
