Category,Mohave
Total_doses_administered,189681
Total_people_one_dose,91598
Total_people_complete,77067
total_pouluation,91598
Male-65 years and older,21276
Male-55-64 years,8364
Male-45-54 years,4352
Male-20-44 years,7677
Male-Less than 20 years,1884
Female-65 years and older,23347
Female-55-64 years,9696
Female-45-54 years,4895
Female-20-44 years,7850
Female-Less than 20 years,2077
"Black or African American, non-Hispanic",628
"American Indian or Alaska Native, non-Hispanic",761
"Asian or Pacific Islander, non-Hispanic",1397
Hispanic or Latino,7389
Unknown,11643
Other Race,14542
"White, non-Hispanic",55238
