,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2979531,787802,12255,49397,84172,25921,9852,6704,9786,1112629,58694,30236,417118,127741,23808,106681,80496
Total_people_one_dose,1882931,515232,7291,33302,51551,16499,6012,3830,6169,700849,40070,19694,266258,82673,15196,63528,54777
Total_people_complete,1165151,,,,,,,,,,,,,,,,
Total_doses_ordered,2819270,,,,,,,,,,,,,,,,
65 years and older,500665,,,,,,,,,,,,,,,,
55-64 years,210877,,,,,,,,,,,,,,,,
45-54 years,112009,,,,,,,,,,,,,,,,
20-44 years,231145,,,,,,,,,,,,,,,,
Less than 20 years,10652,,,,,,,,,,,,,,,,
65 years and older,6169,,,,,,,,,,,,,,,,
55-64 years,164818,,,,,,,,,,,,,,,,
45-54 years,80232,,,,,,,,,,,,,,,,
20-44 years,158244,,,,,,,,,,,,,,,,
Less than 20 years,7149,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",34488,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",50040,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",53409,,,,,,,,,,,,,,,,
Hispanic or Latino,181003,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",280400,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",349808,,,,,,,,,,,,,,,,
"White, non-Hispanic",933786,,,,,,,,,,,,,,,,
