Category,Navajo
Total_doses_administered,30236
Total_people_one_dose,19694
Total_people_complete,11208
Total_doses_ordered,28400
Male-65 years and older,4477
Male-55-64 years,1774
Male-45-54 years,976
Male-20-44 years,1605
Male-Less than 20 years,482
Female-65 years and older,4873
Female-55-64 years,2063
Female-45-54 years,1199
Female-20-44 years,1761
Female-Less than 20 years,513
"Black or African American, non-Hispanic",0.0047222504316035
"Asian or Pacific Islander, non-Hispanic",0.0078196404996446
Hispanic or Latino,0.0468162892251447
"Unknown, non-Hispanic",0.0804813648827054
"Other Race, non-Hispanic",0.2211841169899462
"American Indian or Alaska Native, non-Hispanic",0.2395145729663857
"White, non-Hispanic",0.3994617650045699
