Category,Navajo
Total_doses_administered,79110
Total_people_one_dose,44496
Total_people_complete,37751
Total_doses_ordered,44300
total_pouluation,112825
Male-65 years and older,7064
Male-55-64 years,3674
Male-45-54 years,2623
Male-20-44 years,5515
Male-Less than 20 years,3131
Female-65 years and older,7759
Female-55-64 years,3927
Female-45-54 years,2624
Female-20-44 years,4894
Female-Less than 20 years,3250
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",426
Unknown,2246
Hispanic or Latino,2334
Other Race,8481
"White, non-Hispanic",15084
"American Indian or Alaska Native, non-Hispanic",15697
