Category,Arizona
Total_doses_administered,7500825
Total_people_complete,3612590
Total_doses_ordered,5348107
total_pouluation,7189020
Total_people_one_dose,4091474
Male-65 years and older,527797
Male-55-64 years,305262
Male-45-54 years,269116
Male-20-44 years,644076
Male-Less than 20 years,171893
Female-65 years and older,650336
Female-55-64 years,350876
Female-45-54 years,293789
Female-20-44 years,678468
Female-Less than 20 years,180258
"Black or African American, non-Hispanic",113158
"American Indian or Alaska Native, non-Hispanic",121854
"Asian or Pacific Islander, non-Hispanic",152259
Unknown,438829
Other Race,687127
Hispanic or Latino,702163
"White, non-Hispanic",1876084
