Category,Yuma
Total_doses_administered,224968
Total_people_one_dose,126806
Total_people_complete,107566
Total_doses_ordered,150598
total_pouluation,229957
Male-65 years and older,16169
Male-55-64 years,9089
Male-45-54 years,8090
Male-20-44 years,23827
Male-Less than 20 years,5994
Female-65 years and older,18272
Female-55-64 years,9557
Female-45-54 years,8314
Female-20-44 years,20707
Female-Less than 20 years,6376
"Black or African American, non-Hispanic",745
"Asian or Pacific Islander, non-Hispanic",769
"American Indian or Alaska Native, non-Hispanic",1652
Other Race,11305
"White, non-Hispanic",22798
Unknown,33950
Hispanic or Latino,55587
