Category,La Paz
Total_doses_administered,18101
Total_people_one_dose,9986
Total_people_complete,8888
Total_doses_ordered,19100
total_pouluation,22085
Male-65 years and older,3174
Male-55-64 years,701
Male-45-54 years,340
Male-20-44 years,599
Male-Less than 20 years,168
Female-65 years and older,3070
Female-55-64 years,866
Female-45-54 years,363
Female-20-44 years,507
Female-Less than 20 years,176
"Black or African American, non-Hispanic",33
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",228
Hispanic or Latino,1099
Other Race,1150
Unknown,2672
"White, non-Hispanic",4726
