Category,Maricopa
Total_doses_administered,3216335
Total_people_one_dose,1827203
Total_people_complete,1585472
Total_doses_ordered,1670401
total_pouluation,4367835
Male-65 years and older,186493
Male-55-64 years,131528
Male-45-54 years,132423
Male-20-44 years,311714
Male-Less than 20 years,87411
Female-65 years and older,241109
Female-55-64 years,151343
Female-45-54 years,146195
Female-20-44 years,337321
Female-Less than 20 years,89804
"American Indian or Alaska Native, non-Hispanic",39058
"Black or African American, non-Hispanic",71308
"Asian or Pacific Islander, non-Hispanic",83820
Unknown,179175
Other Race,280233
Hispanic or Latino,339010
"White, non-Hispanic",834599
