Category,Apache
Total_doses_administered,34299
Total_people_one_dose,19180
Total_people_complete,12772
Total_doses_ordered,16900
total_pouluation,71808
Male-65 years and older,1990
Male-55-64 years,1333
Male-45-54 years,1057
Male-20-44 years,2594
Male-Less than 20 years,2557
Female-65 years and older,2101
Female-55-64 years,1461
Female-45-54 years,1059
Female-20-44 years,2382
Female-Less than 20 years,2636
"Asian or Pacific Islander, non-Hispanic",172
"Black or African American, non-Hispanic",293
Unknown,1045
Other Race,1307
Hispanic or Latino,1921
"White, non-Hispanic",3354
"American Indian or Alaska Native, non-Hispanic",11088
