Category,Yavapai
Total_doses_administered,196091
Total_people_one_dose,112055
Total_people_complete,94129
Total_doses_ordered,173670
total_pouluation,232386
Male-65 years and older,24349
Male-55-64 years,8726
Male-45-54 years,5140
Male-20-44 years,10118
Male-Less than 20 years,2193
Female-65 years and older,30375
Female-55-64 years,11150
Female-45-54 years,5983
Female-20-44 years,10258
Female-Less than 20 years,2449
"Black or African American, non-Hispanic",620
"American Indian or Alaska Native, non-Hispanic",1147
"Asian or Pacific Islander, non-Hispanic",1471
Hispanic or Latino,7203
Other Race,17242
Unknown,27618
"White, non-Hispanic",56754
