,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1958342,472507,9028,29898,55829,17670,6843,5377,5987,773606,32276,21602,283011,81557,15096,70281,46293
Total_people_one_dose,1287389,312803,5824,20743,39619,13345,4454,3380,4326,513867,22430,14733,185204,55749,10172,49157,31583
Total_people_complete,680903,177647,,,,,,,,,,,,,,,
Total_doses_ordered,1888380,517357,,,,,,,,,,,,,,,
65 years and older,392655,110895,,,,,,,,,,,,,,,
55-64 years,92843,17584,,,,,,,,,,,,,,,
45-54 years,81893,14134,,,,,,,,,,,,,,,
20-44 years,172464,29644,,,,,,,,,,,,,,,
Less than 20 years,6106,1106,,,,,,,,,,,,,,,
65 years and older,317904,95804,,,,,,,,,,,,,,,
55-64 years,59263,11613,,,,,,,,,,,,,,,
45-54 years,52919,10255,,,,,,,,,,,,,,,
20-44 years,104492,19824,,,,,,,,,,,,,,,
Less than 20 years,3840,676,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2953,618,,,,,,,,,,,,,,,
Black or African American,20301,1471,,,,,,,,,,,,,,,
Asian,28967,4436,,,,,,,,,,,,,,,
American Indian or Alaska Native,37557,7985,,,,,,,,,,,,,,,
Hispanic or Latino,107722,12620,,,,,,,,,,,,,,,
Other Race/Unknown,459961,94600,,,,,,,,,,,,,,,
White,630871,191201,,,,,,,,,,,,,,,
