Category,Apache
Total_doses_administered,22434
Total_people_one_dose,12569
Total_people_complete,10667
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1685
Male-55-64 years,886
Male-45-54 years,571
Male-20-44 years,1036
Male-Less than 20 years,1981
Female-65 years and older,1720
Female-55-64 years,1004
Female-45-54 years,616
Female-20-44 years,977
Female-Less than 20 years,2084
"Asian or Pacific Islander, non-Hispanic",0.0116158803405203
"Black or African American, non-Hispanic",0.0173442596865304
Unknown,0.0739120057283794
Other Race,0.0741506882011298
Hispanic or Latino,0.1146471477444506
"White, non-Hispanic",0.2318402418649058
"American Indian or Alaska Native, non-Hispanic",0.476489776434084
