Category,Navajo
Total_doses_administered,60747
Total_people_one_dose,33902
Total_people_complete,29447
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6066
Male-55-64 years,2762
Male-45-54 years,1887
Male-20-44 years,3844
Male-Less than 20 years,2235
Female-65 years and older,6544
Female-55-64 years,3063
Female-45-54 years,1924
Female-20-44 years,3177
Female-Less than 20 years,2368
"Black or African American, non-Hispanic",0.0056043891215857
"Asian or Pacific Islander, non-Hispanic",0.0102058875582562
Unknown,0.0527992448823078
Hispanic or Latino,0.0561913751401097
Other Race,0.2198985310601145
"American Indian or Alaska Native, non-Hispanic",0.2693351424694708
"White, non-Hispanic",0.3859654297681553
