Category,La Paz
Total_doses_administered,17034
Total_people_one_dose,9292
Total_people_complete,8442
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3072
Male-55-64 years,673
Male-45-54 years,297
Male-20-44 years,469
Male-Less than 20 years,103
Female-65 years and older,2969
Female-55-64 years,832
Female-45-54 years,332
Female-20-44 years,423
Female-Less than 20 years,108
"Black or African American, non-Hispanic",0.0025828669823504
"Asian or Pacific Islander, non-Hispanic",0.0073181231166595
"American Indian or Alaska Native, non-Hispanic",0.0170038743004735
Hispanic or Latino,0.1000860955660784
Other Race,0.1134309083082221
Unknown,0.2748600947051227
"White, non-Hispanic",0.4847180370210934
