Category,Arizona
Total_doses_administered,10635790
Total_people_complete,4065097
total_pouluation,7189020
Total_people_one_dose,4934735
Male-65 years and older,592892
Male-55-64 years,343798
Male-45-54 years,311231
Male-20-44 years,782559
Male-Less than 20 years,307570
Female-65 years and older,720049
Female-55-64 years,390722
Female-45-54 years,334994
Female-20-44 years,818351
Female-Less than 20 years,312680
"Black or African American, non-Hispanic",151691
"Asian or Pacific Islander, non-Hispanic",189981
"American Indian or Alaska Native, non-Hispanic",216626
Unknown,444731
Other Race,693648
Hispanic or Latino,953878
"White, non-Hispanic",2284180
