Category,Santa Cruz
Total_doses_administered,124650
Total_people_one_dose,63222
Total_people_complete,45821
total_pouluation,63222
Male-65 years and older,4813
Male-55-64 years,3470
Male-45-54 years,3722
Male-20-44 years,9821
Male-Less than 20 years,8475
Female-65 years and older,5850
Female-55-64 years,3923
Female-45-54 years,4099
Female-20-44 years,10376
Female-Less than 20 years,8576
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",188
Other Race,3609
Unknown,5531
"White, non-Hispanic",7656
Hispanic or Latino,46125
