Category,Apache
Total_doses_administered,69227
Total_people_one_dose,32042
Total_people_complete,23968
total_pouluation,32042
Male-65 years and older,2976
Male-55-64 years,2149
Male-45-54 years,1736
Male-20-44 years,4251
Male-Less than 20 years,4524
Female-65 years and older,3575
Female-55-64 years,2343
Female-45-54 years,1737
Female-20-44 years,4116
Female-Less than 20 years,4624
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",143
Hispanic or Latino,628
Unknown,1199
Other Race,1219
"White, non-Hispanic",3848
"American Indian or Alaska Native, non-Hispanic",24944
