Category,La Paz
Total_doses_administered,18948
Total_people_one_dose,9270
Total_people_complete,7578
total_pouluation,9270
Male-65 years and older,2516
Male-55-64 years,650
Male-45-54 years,331
Male-20-44 years,703
Male-Less than 20 years,408
Female-65 years and older,2489
Female-55-64 years,761
Female-45-54 years,385
Female-20-44 years,620
Female-Less than 20 years,389
"Black or African American, non-Hispanic",41
"Asian or Pacific Islander, non-Hispanic",91
"American Indian or Alaska Native, non-Hispanic",558
Other Race,1208
Hispanic or Latino,1392
Unknown,1923
"White, non-Hispanic",4057
