Category,Greenlee
Total_doses_administered,10192
Total_people_one_dose,4504
Total_people_complete,3897
total_pouluation,4504
Male-65 years and older,520
Male-55-64 years,385
Male-45-54 years,336
Male-20-44 years,809
Male-Less than 20 years,243
Female-65 years and older,523
Female-55-64 years,318
Female-45-54 years,335
Female-20-44 years,782
Female-Less than 20 years,251
"Asian or Pacific Islander, non-Hispanic",50
"Black or African American, non-Hispanic",55
Other Race,98
"American Indian or Alaska Native, non-Hispanic",127
Unknown,303
"White, non-Hispanic",1829
Hispanic or Latino,2042
