Category,Navajo
Total_doses_administered,111515
Total_people_one_dose,52576
Total_people_complete,42276
total_pouluation,52576
Male-65 years and older,7614
Male-55-64 years,3728
Male-45-54 years,2858
Male-20-44 years,6294
Male-Less than 20 years,5046
Female-65 years and older,8576
Female-55-64 years,4247
Female-45-54 years,2884
Female-20-44 years,6166
Female-Less than 20 years,5125
"Black or African American, non-Hispanic",220
"Asian or Pacific Islander, non-Hispanic",391
Unknown,2527
Hispanic or Latino,2757
Other Race,6485
"White, non-Hispanic",16538
"American Indian or Alaska Native, non-Hispanic",23658
