Category,Yuma
Total_doses_administered,347866
Total_people_one_dose,171046
Total_people_complete,131998
total_pouluation,171046
Male-65 years and older,18051
Male-55-64 years,11203
Male-45-54 years,9732
Male-20-44 years,30261
Male-Less than 20 years,14553
Female-65 years and older,20648
Female-55-64 years,12037
Female-45-54 years,10664
Female-20-44 years,28295
Female-Less than 20 years,14930
"Black or African American, non-Hispanic",890
"American Indian or Alaska Native, non-Hispanic",1243
"Asian or Pacific Islander, non-Hispanic",1282
Other Race,20557
Unknown,30902
"White, non-Hispanic",37553
Hispanic or Latino,78619
