Category,Mohave
Total_doses_administered,201270
Total_people_one_dose,94811
Total_people_complete,79198
total_pouluation,94811
Male-65 years and older,21935
Male-55-64 years,8592
Male-45-54 years,4500
Male-20-44 years,8024
Male-Less than 20 years,2058
Female-65 years and older,23986
Female-55-64 years,9928
Female-45-54 years,5046
Female-20-44 years,8269
Female-Less than 20 years,2290
"Black or African American, non-Hispanic",662
"American Indian or Alaska Native, non-Hispanic",795
"Asian or Pacific Islander, non-Hispanic",1463
Hispanic or Latino,7869
Unknown,11824
Other Race,14883
"White, non-Hispanic",57315
