Category,Graham
Total_doses_administered,41941
Total_people_one_dose,19098
Total_people_complete,16408
total_pouluation,19098
Male-65 years and older,1995
Male-55-64 years,1361
Male-45-54 years,1309
Male-20-44 years,3247
Male-Less than 20 years,1280
Female-65 years and older,2469
Female-55-64 years,1506
Female-45-54 years,1238
Female-20-44 years,3287
Female-Less than 20 years,1395
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,867
Hispanic or Latino,2827
Unknown,3818
"White, non-Hispanic",5631
"American Indian or Alaska Native, non-Hispanic",5806
