Category,Cochise
Total_doses_administered,188422
Total_people_one_dose,90222
Total_people_complete,72338
total_pouluation,90222
Male-65 years and older,12110
Male-55-64 years,6042
Male-45-54 years,4801
Male-20-44 years,12927
Male-Less than 20 years,6795
Female-65 years and older,14146
Female-55-64 years,7122
Female-45-54 years,5388
Female-20-44 years,13683
Female-Less than 20 years,7106
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1591
"Black or African American, non-Hispanic",1704
Unknown,10917
Other Race,12811
Hispanic or Latino,27435
"White, non-Hispanic",35376
