Category,Maricopa
Total_doses_administered,6210699
Total_people_one_dose,2826321
Total_people_complete,2403514
total_pouluation,2826321
Male-65 years and older,300067
Male-55-64 years,198038
Male-45-54 years,193260
Male-20-44 years,465924
Male-Less than 20 years,174268
Female-65 years and older,374925
Female-55-64 years,222020
Female-45-54 years,208852
Female-20-44 years,498384
Female-Less than 20 years,176127
"American Indian or Alaska Native, non-Hispanic",55293
"Black or African American, non-Hispanic",111484
"Asian or Pacific Islander, non-Hispanic",144060
Unknown,191386
Other Race,446981
Hispanic or Latino,491700
"White, non-Hispanic",1385417
