,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1509837,344521,7315,23156,44358,13082,5623,4122,4288,603553,25762,18376,233835,63943,10768,51133,32480
Total_people_one_dose,1091934,261805,5304,17399,32903,9950,3921,3125,3822,425592,19632,13405,168350,47144,8910,44680,25992
Total_people_complete,413669,92604,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,323593,94031,,,,,,,,,,,,,,,
55-64 years,79262,14154,,,,,,,,,,,,,,,
45-54 years,73436,11874,,,,,,,,,,,,,,,
20-44 years,154561,24260,,,,,,,,,,,,,,,
Less than 20 years,4935,816,,,,,,,,,,,,,,,
65 years and older,262826,81572,,,,,,,,,,,,,,,
55-64 years,49112,9178,,,,,,,,,,,,,,,
45-54 years,46527,8473,,,,,,,,,,,,,,,
20-44 years,91422,15789,,,,,,,,,,,,,,,
Less than 20 years,3079,537,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2485,486,,,,,,,,,,,,,,,
Black or African American,16406,1242,,,,,,,,,,,,,,,
Asian,24775,3674,,,,,,,,,,,,,,,
American Indian or Alaska Native,33833,6623,,,,,,,,,,,,,,,
Hispanic or Latino,87437,9872,,,,,,,,,,,,,,,
Other Race/Unknown,391881,77781,,,,,,,,,,,,,,,
White,535450,162201,,,,,,,,,,,,,,,
