Category,Coconino
Total_doses_administered,146748
Total_people_one_dose,80379
Total_people_complete,72592
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7577
Male-55-64 years,5918
Male-45-54 years,5278
Male-20-44 years,15883
Male-Less than 20 years,2839
Female-65 years and older,8676
Female-55-64 years,6624
Female-45-54 years,5482
Female-20-44 years,18426
Female-Less than 20 years,3599
"Black or African American, non-Hispanic",569
"Asian or Pacific Islander, non-Hispanic",1191
Hispanic or Latino,5474
Other Race,9318
"American Indian or Alaska Native, non-Hispanic",16657
Unknown,16732
"White, non-Hispanic",30438
