Category,Cochise
Total_doses_administered,116421
Total_people_one_dose,65438
Total_people_complete,57764
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10540
Male-55-64 years,5079
Male-45-54 years,3645
Male-20-44 years,9295
Male-Less than 20 years,2315
Female-65 years and older,12482
Female-55-64 years,6103
Female-45-54 years,4212
Female-20-44 years,9256
Female-Less than 20 years,2420
"American Indian or Alaska Native, non-Hispanic",313
"Black or African American, non-Hispanic",1215
"Asian or Pacific Islander, non-Hispanic",1270
Unknown,8693
Other Race,10043
Hispanic or Latino,15554
"White, non-Hispanic",28350
