Category,Maricopa
Total_doses_administered,2878380
Total_people_one_dose,1641711
Total_people_complete,1425386
Total_doses_ordered,1557479
total_pouluation,4367835
Male-65 years and older,176576
Male-55-64 years,122419
Male-45-54 years,119110
Male-20-44 years,270293
Male-Less than 20 years,69237
Female-65 years and older,229440
Female-55-64 years,141855
Female-45-54 years,133186
Female-20-44 years,295427
Female-Less than 20 years,72420
"American Indian or Alaska Native, non-Hispanic",35048
"Black or African American, non-Hispanic",62378
"Asian or Pacific Islander, non-Hispanic",78511
Unknown,161240
Other Race,252756
Hispanic or Latino,288473
"White, non-Hispanic",763305
