Category,Navajo
Total_doses_administered,62694
Total_people_one_dose,35444
Total_people_complete,30711
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6232
Male-55-64 years,2847
Male-45-54 years,1965
Male-20-44 years,3970
Male-Less than 20 years,2568
Female-65 years and older,6693
Female-55-64 years,3145
Female-45-54 years,2014
Female-20-44 years,3308
Female-Less than 20 years,2670
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",368
Unknown,1896
Hispanic or Latino,2046
Other Race,7669
"American Indian or Alaska Native, non-Hispanic",9637
"White, non-Hispanic",13623
