Category,Santa Cruz
Total_doses_administered,66393
Total_people_one_dose,36652
Total_people_complete,33379
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3553
Male-55-64 years,2576
Male-45-54 years,2914
Male-20-44 years,7124
Male-Less than 20 years,2141
Female-65 years and older,4297
Female-55-64 years,2604
Female-45-54 years,2775
Female-20-44 years,6450
Female-Less than 20 years,2151
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",94
Other Race,1975
Unknown,2292
"White, non-Hispanic",4694
Hispanic or Latino,27549
