Category,La Paz
Total_doses_administered,17309
Total_people_one_dose,9496
Total_people_complete,8516
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3101
Male-55-64 years,680
Male-45-54 years,311
Male-20-44 years,494
Male-Less than 20 years,127
Female-65 years and older,3005
Female-55-64 years,835
Female-45-54 years,342
Female-20-44 years,450
Female-Less than 20 years,136
"Black or African American, non-Hispanic",27
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",178
Hispanic or Latino,974
Other Race,1076
Unknown,2592
"White, non-Hispanic",4579
