Category,Arizona
Total_doses_administered,6892367
Total_people_complete,3360247
Total_doses_ordered,5244710
total_pouluation,7189020
Total_people_one_dose,3791665
Male-65 years and older,509528
Male-55-64 years,290259
Male-45-54 years,248383
Male-20-44 years,577589
Male-Less than 20 years,142748
Female-65 years and older,628762
Female-55-64 years,335620
Female-45-54 years,274112
Female-20-44 years,613187
Female-Less than 20 years,152144
"Black or African American, non-Hispanic",101844
"American Indian or Alaska Native, non-Hispanic",102700
"Asian or Pacific Islander, non-Hispanic",145367
Unknown,410868
Hispanic or Latino,616427
Other Race,645416
"White, non-Hispanic",1769043
