Category,Yavapai
Total_doses_administered,184657
Total_people_one_dose,105585
Total_people_complete,89006
Total_doses_ordered,166400
total_pouluation,232386
Male-65 years and older,23602
Male-55-64 years,8277
Male-45-54 years,4704
Male-20-44 years,9066
Male-Less than 20 years,1794
Female-65 years and older,29458
Female-55-64 years,10636
Female-45-54 years,5493
Female-20-44 years,9239
Female-Less than 20 years,2006
"Black or African American, non-Hispanic",517
"American Indian or Alaska Native, non-Hispanic",1046
"Asian or Pacific Islander, non-Hispanic",1372
Hispanic or Latino,6333
Other Race,16213
Unknown,26802
"White, non-Hispanic",53302
