Category,Mohave
Total_doses_administered,149886
Total_people_one_dose,86033
Total_people_complete,71415
Total_doses_ordered,126080
total_pouluation,216985
Male-65 years and older,21130
Male-55-64 years,8137
Male-45-54 years,4073
Male-20-44 years,6718
Male-Less than 20 years,1030
Female-65 years and older,23527
Female-55-64 years,9536
Female-45-54 years,4334
Female-20-44 years,6194
Female-Less than 20 years,1201
"Black or African American, non-Hispanic",587
"American Indian or Alaska Native, non-Hispanic",861
"Asian or Pacific Islander, non-Hispanic",1239
Hispanic or Latino,5834
Unknown,14600
Other Race,15531
"White, non-Hispanic",47381
