Category,La Paz
Total_doses_administered,14708
Total_people_one_dose,7967
Total_people_complete,7021
Total_doses_ordered,65
total_pouluation,7967
Male-65 years and older,2219
Male-55-64 years,577
Male-45-54 years,292
Male-20-44 years,578
Male-Less than 20 years,230
Female-65 years and older,2276
Female-55-64 years,673
Female-45-54 years,347
Female-20-44 years,525
Female-Less than 20 years,235
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",84
"American Indian or Alaska Native, non-Hispanic",337
Hispanic or Latino,1142
Other Race,1163
Unknown,1827
"White, non-Hispanic",3382
