Category,Arizona
Total_doses_administered,1
Total_people_complete,4171479
Total_doses_ordered,65
total_pouluation,7189020
Total_people_one_dose,4171479
Male-65 years and older,522330
Male-55-64 years,306994
Male-45-54 years,275586
Male-20-44 years,672279
Male-Less than 20 years,184858
Female-65 years and older,642478
Female-55-64 years,351153
Female-45-54 years,298925
Female-20-44 years,704076
Female-Less than 20 years,193325
"Black or African American, non-Hispanic",118176
"Asian or Pacific Islander, non-Hispanic",152447
"American Indian or Alaska Native, non-Hispanic",155424
Unknown,450058
Other Race,678647
Hispanic or Latino,733951
"White, non-Hispanic",1882776
