Category,Coconino
Total_doses_administered,163890
Total_people_one_dose,85711
Total_people_complete,77275
Total_doses_ordered,65
total_pouluation,85711
Male-65 years and older,8810
Male-55-64 years,6008
Male-45-54 years,5453
Male-20-44 years,15956
Male-Less than 20 years,4128
Female-65 years and older,10032
Female-55-64 years,6801
Female-45-54 years,5600
Female-20-44 years,18217
Female-Less than 20 years,4452
"Black or African American, non-Hispanic",653
"Asian or Pacific Islander, non-Hispanic",1382
Hispanic or Latino,6139
Other Race,10539
Unknown,15124
"American Indian or Alaska Native, non-Hispanic",18672
"White, non-Hispanic",33202
