Category,Yuma
Total_doses_administered,248826
Total_people_one_dose,134666
Total_people_complete,117006
Total_doses_ordered,65
total_pouluation,134666
Male-65 years and older,14604
Male-55-64 years,9522
Male-45-54 years,8488
Male-20-44 years,24922
Male-Less than 20 years,7762
Female-65 years and older,17129
Female-55-64 years,10226
Female-45-54 years,9418
Female-20-44 years,23852
Female-Less than 20 years,8297
"Black or African American, non-Hispanic",672
"American Indian or Alaska Native, non-Hispanic",1025
"Asian or Pacific Islander, non-Hispanic",1032
Other Race,14823
"White, non-Hispanic",27621
Unknown,29909
Hispanic or Latino,59584
