Category,Pinal
Total_doses_administered,426343
Total_people_one_dose,228977
Total_people_complete,203411
Total_doses_ordered,65
total_pouluation,228977
Male-65 years and older,34548
Male-55-64 years,17342
Male-45-54 years,15593
Male-20-44 years,34103
Male-Less than 20 years,9315
Female-65 years and older,40146
Female-55-64 years,19703
Female-45-54 years,15995
Female-20-44 years,32106
Female-Less than 20 years,9383
"Asian or Pacific Islander, non-Hispanic",4493
"Black or African American, non-Hispanic",7866
"American Indian or Alaska Native, non-Hispanic",8033
Other Race,30348
Unknown,30552
Hispanic or Latino,35846
"White, non-Hispanic",111839
