Category,Yavapai
Total_doses_administered,196722
Total_people_one_dose,108085
Total_people_complete,91925
Total_doses_ordered,65
total_pouluation,108085
Male-65 years and older,23788
Male-55-64 years,8652
Male-45-54 years,4721
Male-20-44 years,9313
Male-Less than 20 years,2189
Female-65 years and older,29689
Female-55-64 years,11038
Female-45-54 years,5603
Female-20-44 years,9443
Female-Less than 20 years,2501
"Black or African American, non-Hispanic",480
"American Indian or Alaska Native, non-Hispanic",1204
"Asian or Pacific Islander, non-Hispanic",1224
Hispanic or Latino,7079
Other Race,16941
Unknown,24783
"White, non-Hispanic",56374
