Category,Greenlee
Total_doses_administered,8171
Total_people_one_dose,4618
Total_people_complete,4103
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,530
Male-55-64 years,582
Male-45-54 years,476
Male-20-44 years,963
Male-Less than 20 years,43
Female-65 years and older,513
Female-55-64 years,402
Female-45-54 years,360
Female-20-44 years,705
Female-Less than 20 years,42
"Black or African American, non-Hispanic",0.0090948462537895
"Asian or Pacific Islander, non-Hispanic",0.0103941100043309
"American Indian or Alaska Native, non-Hispanic",0.0173235166738848
Other Race,0.0275010827197921
Unknown,0.0775227371156345
"White, non-Hispanic",0.414898224339541
Hispanic or Latino,0.4432654828930273
