Category,Navajo
Total_doses_administered,62128
Total_people_one_dose,35047
Total_people_complete,30564
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6193
Male-55-64 years,2817
Male-45-54 years,1938
Male-20-44 years,3920
Male-Less than 20 years,2510
Female-65 years and older,6650
Female-55-64 years,3121
Female-45-54 years,1983
Female-20-44 years,3257
Female-Less than 20 years,2626
"Black or African American, non-Hispanic",196
"Asian or Pacific Islander, non-Hispanic",359
Unknown,1877
Hispanic or Latino,1999
Other Race,7599
"American Indian or Alaska Native, non-Hispanic",9579
"White, non-Hispanic",13438
