Category,Gila
Total_doses_administered,50379
Total_people_one_dose,28010
Total_people_complete,25015
Total_doses_ordered,36570
total_pouluation,55159
Male-65 years and older,5782
Male-55-64 years,2569
Male-45-54 years,1546
Male-20-44 years,2986
Male-Less than 20 years,592
Female-65 years and older,6137
Female-55-64 years,2868
Female-45-54 years,1662
Female-20-44 years,3107
Female-Less than 20 years,701
"Black or African American, non-Hispanic",92
"Asian or Pacific Islander, non-Hispanic",253
Hispanic or Latino,1232
Other Race,4704
Unknown,5271
"American Indian or Alaska Native, non-Hispanic",5421
"White, non-Hispanic",11037
