Category,Maricopa
Total_doses_administered,2839052
Total_people_one_dose,1613362
Total_people_complete,1416864
Total_doses_ordered,1541187
total_pouluation,4367835
Male-65 years and older,175676
Male-55-64 years,121126
Male-45-54 years,117111
Male-20-44 years,264170
Male-Less than 20 years,65356
Female-65 years and older,228384
Female-55-64 years,140589
Female-45-54 years,131219
Female-20-44 years,289214
Female-Less than 20 years,68777
"American Indian or Alaska Native, non-Hispanic",34596
"Black or African American, non-Hispanic",60909
"Asian or Pacific Islander, non-Hispanic",77613
Unknown,158751
Other Race,249341
Hispanic or Latino,279120
"White, non-Hispanic",753032
