Category,Coconino
Total_doses_administered,145831
Total_people_one_dose,79708
Total_people_complete,72445
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7552
Male-55-64 years,5892
Male-45-54 years,5237
Male-20-44 years,15729
Male-Less than 20 years,2738
Female-65 years and older,8639
Female-55-64 years,6612
Female-45-54 years,5451
Female-20-44 years,18260
Female-Less than 20 years,3522
"Black or African American, non-Hispanic",561
"Asian or Pacific Islander, non-Hispanic",1184
Hispanic or Latino,5374
Other Race,9246
"American Indian or Alaska Native, non-Hispanic",16495
Unknown,16664
"White, non-Hispanic",30184
