Category,Yavapai
Total_doses_administered,198560
Total_people_one_dose,113256
Total_people_complete,95392
Total_doses_ordered,174926
total_pouluation,232386
Male-65 years and older,24515
Male-55-64 years,8798
Male-45-54 years,5205
Male-20-44 years,10317
Male-Less than 20 years,2246
Female-65 years and older,30578
Female-55-64 years,11224
Female-45-54 years,6078
Female-20-44 years,10485
Female-Less than 20 years,2496
"Black or African American, non-Hispanic",636
"American Indian or Alaska Native, non-Hispanic",1172
"Asian or Pacific Islander, non-Hispanic",1489
Hispanic or Latino,7350
Other Race,17403
Unknown,27812
"White, non-Hispanic",57394
