Category,Mohave
Total_doses_administered,165378
Total_people_one_dose,94121
Total_people_complete,78893
Total_doses_ordered,135940
total_pouluation,216985
Male-65 years and older,22238
Male-55-64 years,8796
Male-45-54 years,4627
Male-20-44 years,7870
Male-Less than 20 years,1526
Female-65 years and older,24771
Female-55-64 years,10227
Female-45-54 years,4929
Female-20-44 years,7334
Female-Less than 20 years,1638
"Black or African American, non-Hispanic",673
"American Indian or Alaska Native, non-Hispanic",982
"Asian or Pacific Islander, non-Hispanic",1363
Hispanic or Latino,6885
Unknown,16074
Other Race,16356
"White, non-Hispanic",51788
