Category,Cochise
Total_doses_administered,126871
Total_people_one_dose,70828
Total_people_complete,62472
Total_doses_ordered,94080
total_pouluation,130808
Male-65 years and older,10958
Male-55-64 years,5311
Male-45-54 years,3940
Male-20-44 years,10354
Male-Less than 20 years,2966
Female-65 years and older,12983
Female-55-64 years,6398
Female-45-54 years,4505
Female-20-44 years,10313
Female-Less than 20 years,3008
"American Indian or Alaska Native, non-Hispanic",339
"Asian or Pacific Islander, non-Hispanic",1337
"Black or African American, non-Hispanic",1355
Unknown,9525
Other Race,10735
Hispanic or Latino,17320
"White, non-Hispanic",30217
