Category,Arizona
Total_doses_administered,7630653
Total_people_complete,3672479
Total_doses_ordered,5387440
total_pouluation,7189020
Total_people_one_dose,4149483
Male-65 years and older,532584
Male-55-64 years,307883
Male-45-54 years,272868
Male-20-44 years,657211
Male-Less than 20 years,176441
Female-65 years and older,655920
Female-55-64 years,353646
Female-45-54 years,297430
Female-20-44 years,691405
Female-Less than 20 years,184435
"Black or African American, non-Hispanic",115710
"American Indian or Alaska Native, non-Hispanic",124878
"Asian or Pacific Islander, non-Hispanic",153599
Unknown,445861
Other Race,693302
Hispanic or Latino,717638
"White, non-Hispanic",1898495
