Category,Maricopa
Total_doses_administered,3294006
Total_people_one_dose,1865693
Total_people_complete,1625475
Total_doses_ordered,1689183
total_pouluation,4367835
Male-65 years and older,189359
Male-55-64 years,133354
Male-45-54 years,135018
Male-20-44 years,320358
Male-Less than 20 years,90394
Female-65 years and older,244506
Female-55-64 years,153299
Female-45-54 years,148691
Female-20-44 years,346168
Female-Less than 20 years,92650
"American Indian or Alaska Native, non-Hispanic",40567
"Black or African American, non-Hispanic",73318
"Asian or Pacific Islander, non-Hispanic",84829
Unknown,184110
Other Race,284498
Hispanic or Latino,348919
"White, non-Hispanic",849452
