Category,Navajo
Total_doses_administered,80938
Total_people_one_dose,45409
Total_people_complete,38553
Total_doses_ordered,44400
total_pouluation,112825
Male-65 years and older,7166
Male-55-64 years,3721
Male-45-54 years,2672
Male-20-44 years,5666
Male-Less than 20 years,3230
Female-65 years and older,7870
Female-55-64 years,3972
Female-45-54 years,2654
Female-20-44 years,5048
Female-Less than 20 years,3374
"Black or African American, non-Hispanic",234
"Asian or Pacific Islander, non-Hispanic",429
Hispanic or Latino,2376
Unknown,2378
Other Race,8555
"White, non-Hispanic",15368
"American Indian or Alaska Native, non-Hispanic",16069
