Category,Coconino
Total_doses_administered,156745
Total_people_one_dose,85935
Total_people_complete,77159
Total_doses_ordered,109424
total_pouluation,147275
Male-65 years and older,8022
Male-55-64 years,6179
Male-45-54 years,5609
Male-20-44 years,17174
Male-Less than 20 years,3422
Female-65 years and older,9113
Female-55-64 years,6891
Female-45-54 years,5729
Female-20-44 years,19616
Female-Less than 20 years,4090
"Black or African American, non-Hispanic",644
"Asian or Pacific Islander, non-Hispanic",1308
Hispanic or Latino,6317
Other Race,9861
Unknown,17166
"American Indian or Alaska Native, non-Hispanic",18036
"White, non-Hispanic",32603
