Category,Santa Cruz
Total_doses_administered,73667
Total_people_one_dose,40898
Total_people_complete,36908
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3668
Male-55-64 years,2686
Male-45-54 years,3151
Male-20-44 years,8075
Male-Less than 20 years,2801
Female-65 years and older,4448
Female-55-64 years,2718
Female-45-54 years,2980
Female-20-44 years,7479
Female-Less than 20 years,2822
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",100
Other Race,2076
Unknown,2389
"White, non-Hispanic",4937
Hispanic or Latino,31342
