,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,601231,10568,38953,67958,21335,7884,5902,7632,882596,43769,25223,336088,101450,18584,88302,58969
Total_people_one_dose,1492003,389949,6478,26282,44560,14724,4888,3564,4700,568841,29327,16828,211187,66989,11224,53608,38854
Total_people_complete,870899,,,,,,,,,,,,,,,,
Total_doses_ordered,2287600,,,,,,,,,,,,,,,,
65 years and older,440793,,,,,,,,,,,,,,,,
55-64 years,133742,,,,,,,,,,,,,,,,
45-54 years,89378,,,,,,,,,,,,,,,,
20-44 years,187483,,,,,,,,,,,,,,,,
Less than 20 years,7216,,,,,,,,,,,,,,,,
65 years and older,66989,,,,,,,,,,,,,,,,
55-64 years,94037,,,,,,,,,,,,,,,,
45-54 years,58827,,,,,,,,,,,,,,,,
20-44 years,116900,,,,,,,,,,,,,,,,
Less than 20 years,4654,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3399,,,,,,,,,,,,,,,,
Black or African American,23623,,,,,,,,,,,,,,,,
Asian,33518,,,,,,,,,,,,,,,,
American Indian or Alaska Native,40237,,,,,,,,,,,,,,,,
Hispanic or Latino,127360,,,,,,,,,,,,,,,,
Other Race/Unknown,546285,,,,,,,,,,,,,,,,
White,717985,,,,,,,,,,,,,,,,
